catalog_index,source_index,menu_index,game_code,game_zh,section_zh,category,title_zh,title_en,title_ja,zh_status,en_status,url
11,144,10,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,鞭子（星之卡比 Wii）,Whip (Kirby's Return to Dream Land),ウィップ(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%c3%a5%d7%28Wii%29
12,132,11,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,风羽（星之卡比 Wii）,Wing (Kirby's Return to Dream Land),ウィング(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%f3%a5%b0%28Wii%29
13,143,12,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,清水（星之卡比 Wii）,Water (Kirby's Return to Dream Land),ウォーター(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a9%a1%bc%a5%bf%a1%bc%28Wii%29
14,142,13,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,弯刀（星之卡比 Wii）,Cutter (Kirby's Return to Dream Land),カッター(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ab%a5%c3%a5%bf%a1%bc%28Wii%29
15,93,14,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,石块（星之卡比 Wii）,Stone (Kirby's Return to Dream Land),ストーン(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%c8%a1%bc%a5%f3%28Wii%29
16,191,15,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,电火花（星之卡比 Wii）,Spark (Kirby's Return to Dream Land),スパーク(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%d1%a1%bc%a5%af%28Wii%29
17,86,16,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,枪（星之卡比 Wii）,Spear (Kirby's Return to Dream Land),スピア(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%d4%a5%a2%28Wii%29
18,141,17,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,利剑（星之卡比 Wii）,Sword (Kirby's Return to Dream Land),ソード(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%bd%a1%bc%a5%c9%28Wii%29
19,92,18,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,龙卷风（星之卡比 Wii）,Tornado (Kirby's Return to Dream Land),トルネイド(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c8%a5%eb%a5%cd%a5%a4%a5%c9%28Wii%29
20,140,19,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,针（星之卡比 Wii）,Needle (Kirby's Return to Dream Land),ニードル(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cb%a1%bc%a5%c9%a5%eb%28Wii%29
21,91,20,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,忍者（星之卡比 Wii）,Ninja (Kirby's Return to Dream Land),ニンジャ(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cb%a5%f3%a5%b8%a5%e3%28Wii%29
22,188,21,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,跳高（星之卡比 Wii）,Hi-Jump (Kirby's Return to Dream Land),ハイジャンプ(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cf%a5%a4%a5%b8%a5%e3%a5%f3%a5%d7%28Wii%29
23,90,22,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,阳伞（星之卡比 Wii）,Parasol (Kirby's Return to Dream Land),パラソル(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d1%a5%e9%a5%bd%a5%eb%28Wii%29
24,89,23,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,锤子（星之卡比 Wii）,Hammer (Kirby's Return to Dream Land),ハンマー(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cf%a5%f3%a5%de%a1%bc%28Wii%29
25,139,24,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,光束（星之卡比 Wii）,Beam (Kirby's Return to Dream Land),ビーム(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d3%a1%bc%a5%e0%28Wii%29
26,88,25,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,烈火（星之卡比 Wii）,Fire (Kirby's Return to Dream Land),ファイア(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%a4%a5%a2%28Wii%29
27,87,26,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,格斗家（星之卡比 Wii）,Fighter (Kirby's Return to Dream Land),ファイター(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%a4%a5%bf%a1%bc%28Wii%29
28,138,27,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,炸弹（星之卡比 Wii）,Bomb (Kirby's Return to Dream Land),ボム(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dc%a5%e0%28Wii%29
29,156,28,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,叶子（星之卡比 Wii）,Leaf (Kirby's Return to Dream Land),リーフ(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ea%a1%bc%a5%d5%28Wii%29
30,155,29,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,魅塔骑士（星之卡比 Wii）,Meta Knight (Kirby's Return to Dream Land),メタナイト(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%e1%a5%bf%a5%ca%a5%a4%a5%c8%28Wii%29
31,254,30,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,帝帝帝大王（星之卡比 Wii）,King Dedede (Kirby's Return to Dream Land),デデデ大王(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c7%a5%c7%a5%c7%c2%e7%b2%a6%28Wii%29
32,207,31,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,瓦豆鲁迪（星之卡比 Wii）,Waddle Dee (Kirby's Return to Dream Land),ワドルディ(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ef%a5%c9%a5%eb%a5%c7%a5%a3%28Wii%29
33,287,32,WII,星之卡比 Wii,首领攻略,boss,首领战（星之卡比 Wii）,Boss Battles (Kirby's Return to Dream Land),ボス戦(Wii),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dc%a5%b9%c0%ef%28Wii%29
34,284,33,WII,星之卡比 Wii,首领攻略,boss,风语大树 EX（星之卡比 Wii）,Whispy Woods EX (Kirby's Return to Dream Land),ウィスピーウッズEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%b9%a5%d4%a1%bc%a5%a6%a5%c3%a5%baEX
35,296,34,WII,星之卡比 Wii,首领攻略,boss,达乌塔先生 EX（星之卡比 Wii）,Mr. Dooter EX (Kirby's Return to Dream Land),Mr.ダウターEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/Mr%2e%a5%c0%a5%a6%a5%bf%a1%bcEX
36,295,35,WII,星之卡比 Wii,首领攻略,boss,缓冲肥肥 EX（星之卡比 Wii）,Fatty Puffer EX (Kirby's Return to Dream Land),ファッティバッファーEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%c3%a5%c6%a5%a3%a5%d0%a5%c3%a5%d5%a5%a1%a1%bcEX
37,186,36,WII,星之卡比 Wii,首领攻略,boss,戈力牙斯 EX（星之卡比 Wii）,Goriath EX (Kirby's Return to Dream Land),ゴライアスEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b4%a5%e9%a5%a4%a5%a2%a5%b9EX
38,189,37,WII,星之卡比 Wii,首领攻略,boss,伟大喽啪 EX（星之卡比 Wii）,Grand Doomer EX (Kirby's Return to Dream Land),グランドローパーEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b0%a5%e9%a5%f3%a5%c9%a5%ed%a1%bc%a5%d1%a1%bcEX
39,294,38,WII,星之卡比 Wii,首领攻略,boss,金属将军 EX（星之卡比 Wii）,Metal General EX (Kirby's Return to Dream Land),メタルジェネラルEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%e1%a5%bf%a5%eb%a5%b8%a5%a7%a5%cd%a5%e9%a5%ebEX
40,152,39,WII,星之卡比 Wii,首领攻略,boss,龙帝亚 EX（星之卡比 Wii）,Landia EX (Kirby's Return to Dream Land),ランディアEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%e9%a5%f3%a5%c7%a5%a3%a5%a2EX
41,293,40,WII,星之卡比 Wii,首领攻略,boss,3 只中首领军团（星之卡比 Wii）,Three Mid-Bosses (Kirby's Return to Dream Land),中ボス軍団3体(Wii),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c3%e6%a5%dc%a5%b9%b7%b3%c3%c43%c2%ce%28Wii%29
42,292,41,WII,星之卡比 Wii,首领攻略,boss,4 只中首领军团（星之卡比 Wii）,Four Mid-Bosses (Kirby's Return to Dream Land),中ボス軍団4体(Wii),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c3%e6%a5%dc%a5%b9%b7%b3%c3%c44%c2%ce%28Wii%29
43,291,42,WII,星之卡比 Wii,首领攻略,boss,球体喽啪 EX（星之卡比 Wii）,Sphere Doomer EX (Kirby's Return to Dream Land),スフィアローパーEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%d5%a5%a3%a5%a2%a5%ed%a1%bc%a5%d1%a1%bcEX
44,174,43,WII,星之卡比 Wii,首领攻略,boss,洛亚 EX&魔法洛亚（星之卡比 Wii）,Lor EX & Magolor (Kirby's Return to Dream Land),ローアEX&マホロア,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ed%a1%bc%a5%a2EX%26%a5%de%a5%db%a5%ed%a5%a2
45,133,44,WII,星之卡比 Wii,首领攻略,boss,HR-D3（星之卡比 Wii）,HR-D3 (Kirby's Return to Dream Land),HR-D3,unchanged,unchanged,https://seesaawiki.jp/kirby_shinkaku/d/HR%2dD3
46,289,45,WII,星之卡比 Wii,首领攻略,boss,星河骑士（星之卡比 Wii）,Galacta Knight (Kirby's Return to Dream Land),ギャラクティックナイト,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ae%a5%e3%a5%e9%a5%af%a5%c6%a5%a3%a5%c3%a5%af%a5%ca%a5%a4%a5%c8
47,290,46,WII,星之卡比 Wii,首领攻略,boss,魔法洛亚 EX（星之卡比 Wii）,Magolor EX (Kirby's Return to Dream Land),マホロアEX,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%de%a5%db%a5%ed%a5%a2EX
48,288,47,WII,星之卡比 Wii,首领攻略,boss,魔法洛亚灵魂（星之卡比 Wii）,Magolor Soul (Kirby's Return to Dream Land),マホロア ソウル,official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%de%a5%db%a5%ed%a5%a2%20%a5%bd%a5%a6%a5%eb
49,7,7,WII_WIIDX,星之卡比 Wii / 星之卡比 Wii 豪华版,综合资料,mechanics_or_reference,术语与技巧（星之卡比 Wii / 星之卡比 Wii 豪华版）,Glossary and Techniques (Kirby's Return to Dream Land / Kirby's Return to Dream Land Deluxe),用語集・テクニック(Wii・WiiDX),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%cd%d1%b8%ec%bd%b8%a1%a6%a5%c6%a5%af%a5%cb%a5%c3%a5%af%28Wii%a1%a6WiiDX%29
50,167,50,TDX,星之卡比 三重豪华版,综合资料,mechanics_or_reference,游戏机制（星之卡比 三重豪华版）,Game Mechanics (Kirby: Triple Deluxe),仕様(TDX),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%bb%c5%cd%cd%28TDX%29
51,199,51,TDX,星之卡比 三重豪华版,综合资料,mechanics_or_reference,术语与技巧（星之卡比 三重豪华版）,Glossary and Techniques (Kirby: Triple Deluxe),用語集・テクニック(TDX),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%cd%d1%b8%ec%bd%b8%a1%a6%a5%c6%a5%af%a5%cb%a5%c3%a5%af%28TDX%29
52,14,87,TDX,星之卡比 三重豪华版,综合资料,media_or_records,视频馆（星之卡比 三重豪华版）,Video Gallery (Kirby: Triple Deluxe),動画館(TDX),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c6%b0%b2%e8%b4%db%28TDX%29
53,33,52,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,复制能力一览（星之卡比 三重豪华版）,Copy Ability List (Kirby: Triple Deluxe),コピー能力一覧(TDX),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b3%a5%d4%a1%bc%c7%bd%ce%cf%b0%ec%cd%f7%28TDX%29
54,210,53,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,冰冻（星之卡比 三重豪华版）,Ice (Kirby: Triple Deluxe),アイス(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a2%a5%a4%a5%b9%28TDX%29
55,137,54,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,鞭子（星之卡比 三重豪华版）,Whip (Kirby: Triple Deluxe),ウィップ(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%c3%a5%d7%28TDX%29
56,173,55,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,风羽（星之卡比 三重豪华版）,Wing (Kirby: Triple Deluxe),ウィング(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%f3%a5%b0%28TDX%29
57,209,56,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,弯刀（星之卡比 三重豪华版）,Cutter (Kirby: Triple Deluxe),カッター(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ab%a5%c3%a5%bf%a1%bc%28TDX%29
58,257,57,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,马戏团（星之卡比 三重豪华版）,Circus (Kirby: Triple Deluxe),サーカス(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b5%a1%bc%a5%ab%a5%b9%28TDX%29
59,250,58,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,石块（星之卡比 三重豪华版）,Stone (Kirby: Triple Deluxe),ストーン(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%c8%a1%bc%a5%f3%28TDX%29
60,213,59,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,狙击手（星之卡比 三重豪华版）,Archer (Kirby: Triple Deluxe),スナイパー(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%ca%a5%a4%a5%d1%a1%bc%28TDX%29
61,212,60,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,电火花（星之卡比 三重豪华版）,Spark (Kirby: Triple Deluxe),スパーク(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%d1%a1%bc%a5%af%28TDX%29
62,72,61,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,枪（星之卡比 三重豪华版）,Spear (Kirby: Triple Deluxe),スピア(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b9%a5%d4%a5%a2%28TDX%29
63,162,62,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,利剑（星之卡比 三重豪华版）,Sword (Kirby: Triple Deluxe),ソード(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%bd%a1%bc%a5%c9%28TDX%29
64,249,63,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,针（星之卡比 三重豪华版）,Needle (Kirby: Triple Deluxe),ニードル(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cb%a1%bc%a5%c9%a5%eb%28TDX%29
65,136,64,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,忍者（星之卡比 三重豪华版）,Ninja (Kirby: Triple Deluxe),ニンジャ(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cb%a5%f3%a5%b8%a5%e3%28TDX%29
66,68,65,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,阳伞（星之卡比 三重豪华版）,Parasol (Kirby: Triple Deluxe),パラソル(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d1%a5%e9%a5%bd%a5%eb%28TDX%29
67,150,66,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,锤子（星之卡比 三重豪华版）,Hammer (Kirby: Triple Deluxe),ハンマー(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%cf%a5%f3%a5%de%a1%bc%28TDX%29
68,256,67,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,独角仙（星之卡比 三重豪华版）,Beetle (Kirby: Triple Deluxe),ビートル(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d3%a1%bc%a5%c8%a5%eb%28TDX%29
69,241,68,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,光束（星之卡比 三重豪华版）,Beam (Kirby: Triple Deluxe),ビーム(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d3%a1%bc%a5%e0%28TDX%29
70,233,69,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,烈火（星之卡比 三重豪华版）,Fire (Kirby: Triple Deluxe),ファイア(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%a4%a5%a2%28TDX%29
71,228,70,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,格斗家（星之卡比 三重豪华版）,Fighter (Kirby: Triple Deluxe),ファイター(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d5%a5%a1%a5%a4%a5%bf%a1%bc%28TDX%29
72,247,71,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,铜铃（星之卡比 三重豪华版）,Bell (Kirby: Triple Deluxe),ベル(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d9%a5%eb%28TDX%29
73,248,72,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,车轮（星之卡比 三重豪华版）,Wheel (Kirby: Triple Deluxe),ホイール(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%db%a5%a4%a1%bc%a5%eb%28TDX%29
74,154,73,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,炸弹（星之卡比 三重豪华版）,Bomb (Kirby: Triple Deluxe),ボム(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dc%a5%e0%28TDX%29
75,229,74,TDX,星之卡比 三重豪华版,复制能力与可操作角色,ability_or_playable,叶子（星之卡比 三重豪华版）,Leaf (Kirby: Triple Deluxe),リーフ(TDX),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%ea%a1%bc%a5%d5%28TDX%29
76,74,75,TDX,星之卡比 三重豪华版,首领攻略,boss,首领战（星之卡比 三重豪华版）,Boss Battles (Kirby: Triple Deluxe),ボス戦(TDX),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%dc%a5%b9%c0%ef%28TDX%29
77,237,76,TDX,星之卡比 三重豪华版,首领攻略,boss,繁花大树 DX（星之卡比 三重豪华版）,Flowery Woods DX (Kirby: Triple Deluxe),ウィスピーフラワーズDX,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%b9%a5%d4%a1%bc%a5%d5%a5%e9%a5%ef%a1%bc%a5%baDX
78,232,77,TDX,星之卡比 三重豪华版,首领攻略,boss,佩茵西亚 DX（星之卡比 三重豪华版）,Paintra DX (Kirby: Triple Deluxe),ペインシアDX,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%da%a5%a4%a5%f3%a5%b7%a5%a2DX
79,246,78,TDX,星之卡比 三重豪华版,首领攻略,boss,独眼云 DX（星之卡比 三重豪华版）,Kracko DX (Kirby: Triple Deluxe),クラッコDX,official_reused,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%af%a5%e9%a5%c3%a5%b3DX
80,245,79,TDX,星之卡比 三重豪华版,首领攻略,boss,盘曲响尾蛇 DX（星之卡比 三重豪华版）,Coily Rattler DX (Kirby: Triple Deluxe),トグ･ロ･ガラーガDX,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c8%a5%b0%8e%a5%a5%ed%8e%a5%a5%ac%a5%e9%a1%bc%a5%acDX
81,223,80,TDX,星之卡比 三重豪华版,首领攻略,boss,火山蛙 DX（星之卡比 三重豪华版）,Pyribbit DX (Kirby: Triple Deluxe),ヴォルゲロムDX,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%f4%a5%a9%a5%eb%a5%b2%a5%ed%a5%e0DX
82,244,81,TDX,星之卡比 三重豪华版,首领攻略,boss,3 只中首领军团（星之卡比 三重豪华版）,Three Mid-Bosses (Kirby: Triple Deluxe),中ボス軍団3体(TDX),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c3%e6%a5%dc%a5%b9%b7%b3%c3%c43%c2%ce%28TDX%29
83,243,82,TDX,星之卡比 三重豪华版,首领攻略,boss,4 只中首领军团（星之卡比 三重豪华版）,Four Mid-Bosses (Kirby: Triple Deluxe),中ボス軍団4体(TDX),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c3%e6%a5%dc%a5%b9%b7%b3%c3%c44%c2%ce%28TDX%29
84,240,83,TDX,星之卡比 三重豪华版,首领攻略,boss,女王·塞昆托霓雅 DX（星之卡比 三重豪华版）,Queen Sectonia DX (Kirby: Triple Deluxe),クィン･セクトニアDX,official_reused,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%af%a5%a3%a5%f3%8e%a5%a5%bb%a5%af%a5%c8%a5%cb%a5%a2DX
85,242,84,TDX,星之卡比 三重豪华版,首领攻略,boss,暗影帝帝帝（星之卡比 三重豪华版）,Shadow Dedede (Kirby: Triple Deluxe),ブラックデデデ,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%d6%a5%e9%a5%c3%a5%af%a5%c7%a5%c7%a5%c7
86,238,85,TDX,星之卡比 三重豪华版,首领攻略,boss,暗魅塔骑士复仇战（星之卡比 三重豪华版）,Dark Meta Knight's Revenge (Kirby: Triple Deluxe),ダークメタナイト リベンジ,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c0%a1%bc%a5%af%a5%e1%a5%bf%a5%ca%a5%a4%a5%c8%20%a5%ea%a5%d9%a5%f3%a5%b8
87,234,86,TDX,星之卡比 三重豪华版,首领攻略,boss,塞昆托霓雅之魂（星之卡比 三重豪华版）,Soul of Sectonia (Kirby: Triple Deluxe),セクトニア ソウル,translated,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%bb%a5%af%a5%c8%a5%cb%a5%a2%20%a5%bd%a5%a6%a5%eb
88,166,88,RBP,星之卡比 机器人星球,综合资料,mechanics_or_reference,游戏机制（星之卡比 机器人星球）,Game Mechanics (Kirby: Planet Robobot),仕様(RBP),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%bb%c5%cd%cd%28RBP%29
89,198,89,RBP,星之卡比 机器人星球,综合资料,mechanics_or_reference,术语与技巧（星之卡比 机器人星球）,Glossary and Techniques (Kirby: Planet Robobot),用語集・テクニック(RBP),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%cd%d1%b8%ec%bd%b8%a1%a6%a5%c6%a5%af%a5%cb%a5%c3%a5%af%28RBP%29
90,1,128,RBP,星之卡比 机器人星球,综合资料,media_or_records,视频馆（星之卡比 机器人星球）,Video Gallery (Kirby: Planet Robobot),動画館(RBP),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c6%b0%b2%e8%b4%db%28RBP%29
91,69,90,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,复制能力一览（星之卡比 机器人星球）,Copy Ability List (Kirby: Planet Robobot),コピー能力一覧(RBP),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b3%a5%d4%a1%bc%c7%bd%ce%cf%b0%ec%cd%f7%28RBP%29
92,130,91,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,冰冻（星之卡比 机器人星球）,Ice (Kirby: Planet Robobot),アイス(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a2%a5%a4%a5%b9%28RBP%29
93,129,92,RBP,星之卡比 机器人星球,复制能力与可操作角色,ability_or_playable,鞭子（星之卡比 机器人星球）,Whip (Kirby: Planet Robobot),ウィップ(RBP),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a6%a5%a3%a5%c3%a5%d7%28RBP%29
