term_id,category,zh_cn,en,ja,aliases_zh,aliases_en,aliases_ja,zh_status,sources,notes,priority,enabled,match_case
ability:copy-ability-list,ability,复制能力一览,Copy Ability List,コピー能力一覧,复制能力一览 DIS | 复制能力一览 RBP | 复制能力一览 STA | 复制能力一览 TDX | 复制能力一览 WII | 复制能力一览 WIIDX | 复制能力一览（星之卡比 Wii 豪华版） | 复制能力一览（星之卡比 Wii） | 复制能力一览（星之卡比 三重豪华版） | 复制能力一览（星之卡比 探索发现） | 复制能力一览（星之卡比 新星同盟） | 复制能力一览（星之卡比 机器人星球） | 星之卡比 Wii 复制能力一览 | 星之卡比 Wii 豪华版 复制能力一览 | 星之卡比 三重豪华版 复制能力一览 | 星之卡比 探索发现 复制能力一览 | 星之卡比 新星同盟 复制能力一览 | 星之卡比 机器人星球 复制能力一览,Copy Ability List (Kirby and the Forgotten Land) | Copy Ability List (Kirby Star Allies) | Copy Ability List (Kirby's Return to Dream Land Deluxe) | Copy Ability List (Kirby's Return to Dream Land) | Copy Ability List (Kirby: Planet Robobot) | Copy Ability List (Kirby: Triple Deluxe) | Copy Ability List DIS | Copy Ability List RBP | Copy Ability List STA | Copy Ability List TDX | Copy Ability List WII | Copy Ability List WIIDX | Kirby and the Forgotten Land Copy Ability List | Kirby Star Allies Copy Ability List | Kirby's Return to Dream Land Copy Ability List | Kirby's Return to Dream Land Deluxe Copy Ability List | Kirby: Planet Robobot Copy Ability List | Kirby: Triple Deluxe Copy Ability List | 复制能力一览 DIS | 复制能力一览 RBP | 复制能力一览 STA | 复制能力一览 TDX | 复制能力一览 WII | 复制能力一览 WIIDX | 星之卡比 Wii 复制能力一览 | 星之卡比 Wii 豪华版 复制能力一览,コピー能力一覧(Dis) | コピー能力一覧(RBP) | コピー能力一覧(STA) | コピー能力一覧(TDX) | コピー能力一覧(Wii) | コピー能力一覧(WiiDX),project,shinkaku-page-names,真格速查 #133；真格速查 #206；真格速查 #246；真格速查 #53；真格速查 #9；真格速查 #91,150,True,False
ability:dash,ability,Dash,Dash,ダッシュ,,,,unchanged,bwiki-infobox,BWIKI page: 冲刺; template: Infobox/复制能力,100,True,False
ability:dodge,ability,Dodge,Dodge,そのばかいひ,,,,unchanged,bwiki-infobox,BWIKI page: 当下回避; template: Infobox/复制能力,100,True,False
ability:double-bladed-laser-sword,ability,两刃激光剑,Double-Bladed Laser Sword,スパークカッター,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:double-cutter,ability,超级弯刀,Double Cutter,カッターカッター,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:dragoon,ability,龙骑兵,Dragoon,ドラグーン,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 龙骑兵; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:duck,ability,Duck,Duck,しゃがむ,,,,unchanged,bwiki-infobox,BWIKI page: 蹲下; template: Infobox/复制能力,100,True,False
ability:dynamite,ability,炸药,Dynamite,ストーンボム,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:explosive-ninja-stars,ability,爆炸忍者之星,Explosive Ninja Stars,カッターボム,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:face-to-face-lend-a-helping-hand,ability,Face-to-Face/Lend a helping hand,Face-to-Face/Lend a helping hand,くちうつし,,,,unchanged,bwiki-infobox,BWIKI page: 分享; template: Infobox/复制能力,100,True,False
ability:fire-sword,ability,Fire Sword,Fire Sword,ファイアソード,,,,unchanged,bwiki-infobox,BWIKI page: 火剑; template: Infobox/复制能力,100,True,False
ability:fireworks,ability,烟花,Fireworks,バーニングボム,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:flaming-arrow,ability,燃烧弓箭,Flaming Arrow,バーニングニードル,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:flight-warp-star,ability,飞天传送之星,Flight Warp Star,フライトワープスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 飞天传送之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:formula-star,ability,方程式之星,Formula Star,フォーミュラスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 方程式之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:giant-claws,ability,巨型之爪,Giant Claws,ニードルカッター,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:giant-spiny-snowflake,ability,巨型带刺雪花,Giant Spiny Snowflake,アイスニードル,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:giant-stone-kirby,ability,巨型石块,Giant Stone Kirby,ストーンストーン,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:headbutt,ability,Headbutt,Headbutt,頭突き,,,,unchanged,bwiki-infobox,BWIKI page: 头顶攻击; template: Infobox/复制能力,100,True,False
ability:hop-star,ability,跳跃之星,Hop Star,ホップスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 跳跃之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:hover,ability,盘旋,Hover,ホバリング,,,,project,bwiki-infobox | curated-official-notes,BWIKI page: 盘旋; template: Infobox/复制能力；星之卡比官方资料.md / 核心玩法词条,120,True,False
ability:hydra,ability,九头蛇,Hydra,ハイドラ,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 九头蛇; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:ice-skating,ability,溜冰,Ice Skating,アイスカッター,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:ice-sword,ability,Ice Sword,Ice Sword,アイスソード,,,,unchanged,bwiki-infobox,BWIKI page: 冰剑; template: Infobox/复制能力,100,True,False
ability:inhale,ability,吸入,Inhale,すいこみ,,,吸い込み,official_reused,bwiki-infobox | curated-official-notes,BWIKI page: 吸入; template: Infobox/复制能力；星之卡比官方资料.md / 核心玩法词条,120,True,False
ability:jet-star,ability,喷射机之星,Jet Star,ジェットスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 喷射机之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:jump,ability,Jump,Jump,ジャンプ,,,,unchanged,bwiki-infobox,BWIKI page: 跳跃; template: Infobox/复制能力,100,True,False
ability:leo,ability,猛狮,Leo,レオ,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 猛狮; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:light-bulb,ability,闪亮电灯泡,Light Bulb,スパークボム,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:lightning-boulder,ability,电磁石,Lightning Boulder,スパークストーン,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:lightning-rod,ability,引电棒,Lightning Rod,スパークニードル,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:match-kirby,ability,摩擦生热,Match Kirby,バーニングスパーク,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:melting-ice-block,ability,可融冰块,Melting Ice Block,バーニングアイス,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:metamortex,ability,Metamortex,Metamortex,メタモル能力,,,,unchanged,bwiki-infobox,BWIKI page: 变形能力; template: Infobox/道具,100,True,False
ability:mix,ability,Mix,Mix,コピールーレット,,,,unchanged,bwiki-infobox,BWIKI page: 混合; template: Infobox/复制能力,100,True,False
ability:mouthful-mode,ability,塞满嘴变形,Mouthful Mode,ほおばりヘンケイ,塞满嘴,,,official_reused,bwiki-infobox | curated-official-notes,BWIKI page: 塞满嘴变形; template: Infobox/复制能力；星之卡比官方资料.md / 核心玩法词条,120,True,False
ability:normal-beam,ability,Normal Beam,Normal Beam,すっぴんビーム,,,,unchanged,bwiki-infobox,BWIKI page: 普通光束; template: Infobox/复制能力,100,True,False
ability:paper-star,ability,纸片之星,Paper Star,ペーパースター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 纸片之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:piggyback,ability,Piggyback,Piggyback,おんぶ,,,,unchanged,bwiki-infobox,BWIKI page: 背负; template: Infobox/复制能力,100,True,False
ability:puck,ability,冰壶,Puck,ディスク,,Curling Stone,アイスストーン,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 道具（皇家大乱斗）; template: 道具；BWIKI vertical name table: 融合复制能力,100,True,False
ability:quick-fall,ability,Quick Fall,Quick Fall,急降下アタック,,,,unchanged,bwiki-infobox,BWIKI page: 急降下攻击; template: Infobox/复制能力,100,True,False
ability:refrigerator,ability,电冰箱,Refrigerator,アイススパーク,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:rex-wheelie,ability,暴龙独轮,Rex Wheelie,レックスウィリー,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 暴龙独轮; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:ribbon-s-crystal-gun,ability,莉宝水晶枪,Ribbon's Crystal Gun,リボンクリスタル,,,,official_reused,bwiki-infobox,BWIKI page: 莉宝水晶枪; template: Infobox/复制能力,100,True,False
ability:rick-kine-coo,ability,陆库&海恩&空,Rick & Kine & Coo,リック&カイン&クー,星之卡比 新星同盟 陆库&海恩&空 | 陆库&海恩&空 STA | 陆库&海恩&空（星之卡比 新星同盟）,Kirby Star Allies Rick & Kine & Coo | Rick & Kine & Coo (Kirby Star Allies) | Rick & Kine & Coo STA | 陆库&海恩&空 STA,リック&カイン&クー(STA),official,shinkaku-page-names,真格速查 #161,150,True,False
ability:rocket-star,ability,火箭之星,Rocket Star,ロケットスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 火箭之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:rolling-snowball,ability,滚滚雪球,Rolling Snowball,アイスアイス,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:shadow-star,ability,恶魔之星,Shadow Star,デビルスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 恶魔之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:sizzle,ability,火焰,Sizzle,メラーガ〇〇〇〇,,,,official_reused,bwiki-infobox,BWIKI page: 火焰; template: Infobox/复制能力,100,True,False
ability:slick-star,ability,滑行之星,Slick Star,スリックスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 滑行之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:slide,ability,Slide,Slide,スライディング,,,,unchanged,bwiki-infobox,BWIKI page: 滑垒; template: Infobox/复制能力,100,True,False
ability:space-jump,ability,Space Jump,Space Jump,スペースジャンプ,,,,unchanged,bwiki-infobox,BWIKI page: 空间跳跃; template: Infobox/复制能力,100,True,False
ability:spike-bomb,ability,针炸弹,Spike Bomb,ニードルボム,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:splash,ability,冲击,Splash,スプラ〇〇〇〇,,,,official_reused,bwiki-infobox,BWIKI page: 冲击; template: Infobox/复制能力,100,True,False
ability:super-electric-energy-field,ability,超级电力场,Super Electric Energy Field,スパークスパーク,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:super-fireball,ability,超级火球,Super Fireball,バーニングバーニング,带火剑,,バーニングカッター,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:swerve-star,ability,遗迹之星,Swerve Star,ルインズスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 遗迹之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:swiss-army,ability,针武器,Swiss Army,ニードルニードル,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:tank-star,ability,坦克之星,Tank Star,タンクスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 坦克之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:team-attack,ability,Team Attack,Team Attack,せーのでドン！,,,,unchanged,bwiki-infobox,BWIKI page: 预备～发射！; template: Infobox/复制能力,100,True,False
ability:thunder-bomb,ability,Thunder Bomb,Thunder Bomb,サンダーボム,,,,unchanged,bwiki-infobox,BWIKI page: 电炸弹; template: Infobox/复制能力,100,True,False
ability:thunder-sword,ability,Thunder Sword,Thunder Sword,サンダーソード,,,,unchanged,bwiki-infobox,BWIKI page: 电剑; template: Infobox/复制能力,100,True,False
ability:transform-star,ability,变形之星,Transform Star,ヘンシンスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 变形之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:tri-missile-attack,ability,三击导弹,Tri-Missile Attack,ボムボム,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:turbo-star,ability,涡轮之星,Turbo Star,ターボスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 涡轮之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:vampire-star,ability,吸血鬼之星,Vampire Star,ヴァンパイアスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 吸血鬼之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:volcano,ability,火山,Volcano,バーニングストーン,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:wagon-star,ability,箱车之星,Wagon Star,ワゴンスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 箱车之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:wheelie-bike,ability,独轮摩托车,Wheelie Bike,ウィリーバイク,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 独轮摩托车; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:wheelie-scooter,ability,独轮小摩托,Wheelie Scooter,ウィリースクーター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 独轮小摩托; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:winged-star,ability,羽翼之星,Winged Star,ウィングスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 羽翼之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:zap,ability,电气,Zap,バリッカ〇〇〇〇,,,,official_reused,bwiki-infobox,BWIKI page: 电气; template: Infobox/复制能力,100,True,False
character:1-png,character,箩箩箩的城堡,|图片=帕菲云1.png,|日文名=クークラー,,,,project,bwiki-table,BWIKI table: 星之卡比/杂兵,100,True,False
character:1000-100,character,翻滚的1000/100个瓦豆鲁迪球,,ころがる1000/100のワドルディ,,,,official_reused,bwiki-infobox,BWIKI page: 瓦豆鲁迪/种类; template: 杂兵,100,True,False
character:4add3ca0b13416cf,character,炮台者瓦豆鲁迪！,,キャノンワドルディ,,,,official_reused,bwiki-infobox,BWIKI page: 星之卡比 机器博博星球/杂兵; template: 杂兵,100,True,False
character:8fe898c25b689ae1,character,影武者瓦豆鲁迪,,影武者ワドルディ,,,,official_reused,bwiki-infobox,BWIKI page: 瓦豆鲁迪/种类; template: 杂兵,100,True,False
character:a844aa08962b20e1,character,螺旋桨瓦豆鲁迪,,プロペラワドルディ,,,,official_reused,bwiki-infobox,BWIKI page: 瓦豆鲁迪/种类; template: 杂兵,100,True,False
character:acchi,character,阿奇,Acchi,アッチー,,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 怪盗洛切团登场！/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Acchi,100,True,False
character:ace-phanta,character,王牌漂浮洛巴,Ace Phanta,エースフワローバ,王牌漂浮洛巴！,Ace Foorlowber,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 三重豪华/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Ace Phanta,100,True,False
character:acore,character,Acore,Acore,アコル,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Acore,100,True,False
character:acro,character,鲸虎,Acro,アクロ,鯨虎,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 鲸虎; template: Infobox/敌对角色；WiKirby page: Acro,100,True,False
character:acti-blade,character,Acti Blade,Acti Blade,アクティブレイド,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Acti Blade,100,True,False
character:adeleine,character,阿朵莱妮,Adeleine,アドレーヌ,阿朵萊妮,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 阿朵莱妮; template: Infobox/角色；WiKirby page: Adeleine,100,True,False
character:ado,character,Ado,Ado,アド,,,,unchanged,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 阿朵; template: Infobox/敌对角色；WiKirby page: Ado,100,True,False
character:air-riders,character,Air Riders,Air Riders,エアライドマシンライダー,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Air Riders,100,True,False
character:amon,character,Amon,Amon,アモン,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Amon,100,True,False
character:amprey,character,麻麻鳗,Amprey,ナンギー,,,,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 毛线卡比/杂兵2; template: 杂兵；WiKirby page: Amprey,100,True,False
character:anemonee,character,海葵,Anemonee,イソキンチャク,,Deepsee,エニラム,official_reused,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 毛线卡比/杂兵2; template: 杂兵；BWIKI page: 触摸！ 卡比 超级彩虹/杂兵; template: 杂兵；WiKirby page: Anemonee,100,True,False
character:angel,character,天使,Angel,エンジェル,,Angel (character) | Cupid,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 天使; template: Infobox/复制能力；BWIKI vertical name table: 需要帮助的NPC（星之卡比3）；WiKirby page: Angel (character),100,True,False
character:anger-masker,character,怒气面具怪,Anger Masker,アンガーマスカー,愤怒面具怪！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 新星同盟/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Anger Masker,100,True,False
character:angie,character,安吉,Angie,エンジィ,,,,official_reused,bwiki-table | catalog-profiles | wikirby-names,BWIKI vertical name table: 毛线卡比/NPC；WiKirby page: Angie,100,True,False
character:anige,character,Anige,Anige,オワルト・デゼニー,,,,unchanged,catalog-profiles | wikirby-names,WiKirby page: Anige,100,True,False
character:animal-friends,character,动物伙伴,Animal Friends,なかま,,,,project,bwiki-infobox,BWIKI page: 动物伙伴; template: Infobox/角色,100,True,False
character:ant-doom,character,Ant Doom,Ant Doom,,,,,unchanged,catalog-profiles | wikirby-names,WiKirby 页面没有可解析的多语言名称表,100,True,False
character:antler,character,蚂蚁兵,Antler,ホワイトアントラー,蚂蚁兵！,,バグズ,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 三重豪华/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Antler,100,True,False
character:apolo,character,阿波洛,Apolo,アポロ,阿波洛！,Apollo,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比3/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Apolo,100,True,False
character:apple,character,苹果,Apple,リンゴ,蘋果,,りんご,official,bwiki-infobox | wikirby-names,BWIKI page: 苹果; template: Infobox/道具；WiKirby page: Apple,100,True,False
character:armor-plated-illusion-phantom-sillydillo,character,舞幻甲兽 犰魔乱舞·幻,"Armor-Plated Illusion, Phantom Sillydillo",踊幻甲獣 アルマパラパ・幻,星之卡比 探索发现 舞幻甲兽 犰魔乱舞·幻 | 犰魔乱舞·幻 | 舞幻甲兽 犰魔乱舞·幻 DIS | 舞幻甲兽 犰魔乱舞·幻（星之卡比 探索发现） | 舞幻甲獸 犰魔亂舞·幻,Kirby and the Forgotten Land Phantom Sillydillo | Phantom Sillydillo | Phantom Sillydillo (Kirby and the Forgotten Land) | Phantom Sillydillo DIS | 舞幻甲兽 犰魔乱舞·幻 DIS,アルマパラパ・幻,official,bwiki-infobox | catalog-profiles | shinkaku-page-names | wikirby-names,BWIKI page: 犰魔乱舞·幻; template: Infobox/敌对角色；WiKirby page: Phantom Sillydillo；真格速查 #222,150,True,False
character:armor-plated-prancer-sillydillo,character,舞转甲兽 犰魔乱舞,"Armor-Plated Prancer, Sillydillo",踊転甲獣 アルマパラパ,犰魔乱舞 | 舞轉甲獸 犰魔亂舞,Sillydillo,アルマパラパ,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 犰魔乱舞; template: Infobox/敌对角色；WiKirby page: Sillydillo,100,True,False
character:armor-waddle-dee,character,盔甲迪,Armor Waddle Dee,アーマーワドルディ,盔甲迪！,Armored Waddle Dee | ArmoredWaddleDee,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 Wii/杂兵; template: 杂兵；BWIKI page: 盔甲迪; template: Infobox/敌对角色；BWIKI table: 杂兵；WiKirby page: Armor Waddle Dee,100,True,False
character:assistant-waddle-dee,character,助手瓦豆鲁迪,Assistant Waddle Dee,ADワドルディ,,,,official_reused,bwiki-infobox,BWIKI page: 瓦豆鲁迪/种类; template: 杂兵,100,True,False
character:astral-birth-void,character,星诞 虚无,"Astral Birth, Void",星誕 ニル,星之卡比 新星同盟 虚无 | 星誕 虛無 | 虚无 | 虚无 STA | 虚无（星之卡比 新星同盟）,Kirby Star Allies Void | Void | Void (Kirby Star Allies) | Void STA | 虚无 STA,ニル,official,bwiki-infobox | catalog-profiles | shinkaku-page-names | wikirby-names,BWIKI page: 虚无; template: Infobox/敌对角色；WiKirby page: Void；真格速查 #200,150,True,False
character:astronomer-waddle-dee,character,天文学者瓦豆鲁迪,Astronomer Waddle Dee,天もん学者ワドルディ,天文學者瓦豆魯迪,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 瓦豆鲁迪/种类; template: 杂兵；WiKirby page: Astronomer Waddle Dee,100,True,False
character:awadoron,character,泡泡贝,Awadoron,アワドロン,,Clammy,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 集合！ 卡比/杂兵1; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Awadoron,100,True,False
character:awasuki,character,泡泡鱼,Awasuki,アワスキィ,,Goldfish,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 集合！ 卡比/杂兵1; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Awasuki,100,True,False
character:awoofy,character,加鲁鲁菲,Awoofy,ガルルフィ,加魯魯菲 | 结晶化加鲁鲁菲,Crystal Awoofy,,official,bwiki-infobox | bwiki-table | catalog-forms | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 探索发现/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Awoofy,100,True,False
character:axe-knight,character,斧头骑士,Axe Knight,アックスナイト,斧頭騎士,,,official,bwiki-infobox | catalog-profiles | wikirby-names,BWIKI page: 斧头骑士; template: Infobox/敌对角色；WiKirby page: Axe Knight,100,True,False
character:babut,character,巴布特蝙蝠,Babut,バブット,巴布蝠！,,,official_reused,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 巴布特蝙蝠; template: Infobox/敌对角色；BWIKI page: 星之卡比3/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Babut,100,True,False
character:bakasa,character,呆呆伞,Bakasa,バカサ,,,,official_reused,bwiki-table | catalog-profiles | wikirby-names,BWIKI vertical name table: 需要帮助的NPC（星之卡比3）；WiKirby page: Bakasa,100,True,False
character:balloon-bomber,character,气球炸弹,Balloon Bomber,バルーンボンバー,氣球炸彈,Balloon Bomb | 英：Balloon Bomber,バルーンボム | 日：バルーンボンバー,official,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 卡比的驭天飞行/杂兵; template: 杂兵；BWIKI page: 星之卡比 Wii/道具; template: 道具；BWIKI table: 卡比的驭天飞行；BWIKI table: 杂兵；WiKirby page: Balloon Bomber,100,True,False
character:balloon-meister,character,气球高手,Balloon-Meister,バルンマイスター,氣球高手,,,official,bwiki-infobox | bwiki-table | catalog-profiles | wikirby-names,BWIKI page: 星之卡比 探索发现/杂兵; template: 杂兵；BWIKI table: 杂兵；WiKirby page: Balloon-Meister,100,True,False
